date,ARTKAART,ARTKIMP,ARTKONE,ARTKPWC,ARTKSIX
1980-03-31,100.0000,,100.0000,,100.0000
1980-06-30,119.6800,100.0000,70.6700,100.0000,119.0100
1980-09-30,137.9500,,49.9500,,188.8200
1980-12-31,118.9500,108.9900,63.4100,141.4100,178.5700
1981-03-31,108.8600,,80.5100,,149.3500
1981-06-30,77.6000,125.6900,396.6200,153.8500,108.5400
1981-09-30,103.4100,,74.5100,,104.5800
1981-12-31,67.1800,108.0300,104.1100,220.3900,54.4400
1982-03-31,86.4200,,104.7800,,88.8500
1982-06-30,60.2200,81.5800,127.5200,160.6900,95.2200
1982-09-30,84.7000,,155.2100,,131.3400
1982-12-31,95.8800,67.3300,24.1100,195.9000,89.4100
1983-03-31,86.9000,,77.0800,,155.8900
1983-06-30,110.3500,107.6000,83.0900,130.5100,98.4400
1983-09-30,103.7800,,89.5600,,118.5700
1983-12-31,114.6600,129.9100,30.6300,193.8200,156.3000
1984-03-31,95.1200,,89.9800,,119.0600
1984-06-30,110.5300,143.3300,68.9200,206.9800,142.8800
1984-09-30,102.2100,,62.4100,,103.2800
1984-12-31,107.3100,128.1800,69.5600,254.8300,106.0600
1985-03-31,131.9200,,114.5000,,161.0700
1985-06-30,154.6900,123.4700,115.3900,312.1800,159.6700
1985-09-30,125.3200,,116.2800,,145.7700
1985-12-31,176.9500,106.5200,89.5000,330.7700,281.6200
1986-03-31,155.9000,,145.4900,,204.8100
1986-06-30,202.7500,103.0000,130.4100,301.6700,188.4500
1986-09-30,177.5700,,116.8900,,200.9800
1986-12-31,241.6900,144.4400,98.4500,555.2100,264.3000
1987-03-31,219.7700,,181.5600,,253.0900
1987-06-30,223.2500,211.0600,183.2600,674.2400,302.8800
1987-09-30,226.1700,,134.9500,,295.0900
1987-12-31,237.6700,316.5900,197.0900,881.3400,263.3000
1988-03-31,252.7700,,216.6500,,310.1200
1988-06-30,281.5600,357.4500,327.8000,658.7600,268.8700
